Unnamed: 0,Content
0,"Le freelancer est chargé de la mission de ... pour son client dénoté ci-dessus.
"
1,"Le freelancer effectuera sa mission de la période du ... au ....
"
2,"Le client paiera la somme de ... dt au freelancer à titre de rémunération pour ses prestations en freelance, qui est échue, en plein droit au freelancer, dans la date limite du ....
"
3,"Le Freelancer s'engage à respecter la confidentialité des informations et des données auxquelles il aura accès dans le cadre de la prestation. Le Client
conservera la propriété intellectuelle des livrables produits par le Freelancer dans le cadre de la mission."
4,"Le Freelancer est responsable de la qualité et de la conformité des prestations fournies dans le cadre de la mission. Le Client s'engage à fournir au Freelancer toutes les informations et les ressources nécessaires à l'accomplissement de la mission.
"
5,"Le présent contrat peut être résilié par l'une ou l'autre des parties en respectant un préavis de 7 jours, en cas de non-respect des termes du contrat ou pour tout autre motif valable.
"
6,"Ce contrat est régi par la loi tunisienne. En cas de litige, les parties reconnaissent la juridiction compétente du tribunal de Tunis."
7,"Pour l'accomplissement des diligences et prestations prévues à l'article ... ci-dessus, le prestataire s'engage à donner ses meilleurs soins, conformément aux règles de l'art. La présente obligation, n'est, de convention expresse, que pure obligation de moyens."
8,"Le prestataire considèrera comme strictement confidentiel, et s'interdit de divulguer, toute information, document, donnée ou concept, dont il pourra avoir connaissance à l'occasion du présent contrat."
9,"Le contrat prend effet à la date de signature des présentes pour une durée de .."
10,"Tout manquement de l'une ou l'autre des parties aux obligations qu'elle a en charge, aux termes des articles (...), (...), ci-dessus, entraînera, si bon semble au créancier de l'obligation inexécutée, la résiliation de plein droit au présent contrat, quinze jours après mise en demeure d'exécuter par lettre recommandée avec accusé de réception demeurée sans effet, sans préjudice de tous dommages et intérêts."
11,"Si un changement de circonstances imprévisible lors de la conclusion du contrat rend l'exécution excessivement onéreuse pour une partie qui n'avait pas accepté d'en assumer le risque, celle-ci peut demander une renégociation du contrat à son cocontractant."
